_id,accountId,projectId,date,userId,roleId,teamId,isDeleted,userType,customerId,allocatedMins,softAllocatedMins,hardAllocatedMins,estimatedRevenue,actualRevenue,estimatedMargin,actualMargin,estimatedCost,actualCost,actualProfit,estimatedProfit,estimatedRevenueInProjectCurrency,actualRevenueInProjectCurrency,estimatedMarginInProjectCurrency,actualMarginInProjectCurrency,estimatedCostInProjectCurrency,actualCostInProjectCurrency,actualProfitInProjectCurrency,estimatedProfitInProjectCurrency,billableMinutes,nonBillableMinutes,costRate,billRate,trackedMinutes,utilisation,billableUtilisation,plannedUtilisation,capacityInMinutes,financeType,version,primaryTableMaxVersion._id,primaryTableMaxVersion.version
2024-06-25_325224_USER_ID_75458,16946,325224,06-25-2024,0,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803934659199,2024-06-25_325224_USER_ID_75458,1735232803934659199
2024-06-25_325224_USER_ID_75460,16946,325224,06-25-2024,0,75460,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803934900039,2024-06-25_325224_USER_ID_75460,1735232803934900039
2024-06-25_325224_USER_ID_75461,16946,325224,06-25-2024,0,75461,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803935136211,2024-06-25_325224_USER_ID_75461,1735232803935136211
2024-06-25_325224_USER_ID_75462,16946,325224,06-25-2024,0,75462,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803935368836,2024-06-25_325224_USER_ID_75462,1735232803935368836
2024-06-25_325224_USER_ID_82411,16946,325224,06-25-2024,0,82411,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803940285969,2024-06-25_325224_USER_ID_82411,1735232803940285969
2024-06-25_325224_USER_ID_82412,16946,325224,06-25-2024,0,82412,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803940517716,2024-06-25_325224_USER_ID_82412,1735232803940517716
2024-06-25_327243_275181_75461,16946,327243,06-25-2024,275181,75461,0,0,,195659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,0.0,0,0.0,0.0,0.0,480,TIME_AND_MATERIAL,1733598029615478946,2024-06-25_327243_275181_75461,1733598029615478946
2024-06-26_325224_284088_75458,16946,325224,06-26-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803940747737,2024-06-26_325224_284088_75458,1735232803940747737
2024-06-26_325224_USER_ID_75458,16946,325224,06-26-2024,0,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803940977432,2024-06-26_325224_USER_ID_75458,1735232803940977432
2024-06-26_325224_USER_ID_75460,16946,325224,06-26-2024,0,75460,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803941209125,2024-06-26_325224_USER_ID_75460,1735232803941209125
