"projectMembershipId","projectId","permissionSetId","userId","accountId","active","isDeleted","sourceType","version","isDeafult","_id","updatedAt","joinedAt","primaryTableMaxVersion._id","primaryTableMaxVersion.version"
"1452539","325431","204282","293237","16946","1","0","DEFAULT","1743176871351022225","true","1452539","","1721260800000","1452539","1743176871351022225"
"1452540","325431","221206","297488","16946","1","0","DEFAULT","1743176941192207876","true","1452540","","1721260800000","1452540","1743176941192207876"
"1452536","325431","204282","297489","16946","1","0","DEFAULT","1742554581805720472","true","1452536","","1721260800000","1452536","1742554581805720472"
"1452538","325431","201927","297492","16946","1","0","DEFAULT","1742554581805233818","true","1452538","","1721260800000","1452538","1742554581805233818"
"1452551","325431","201927","297493","16946","1","0","DEFAULT","1743178030538590512","true","1452551","","1721260800000","1452551","1743178030538590512"
"1452549","325431","201927","297498","16946","1","0","DEFAULT","1743176918918091731","true","1452549","","1721260800000","1452549","1743176918918091731"
"1452550","325431","201927","297499","16946","1","0","DEFAULT","1743176977629071914","true","1452550","","1721260800000","1452550","1743176977629071914"
"1452541","325431","201927","297500","16946","1","0","DEFAULT","1743177009173465312","true","1452541","","1721260800000","1452541","1743177009173465312"
"1465261","325431","201927","305292","16946","1","0","DEFAULT","1742554581804017976","true","1465261","","1721692800000","1465261","1742554581804017976"
"1444570","325706","201926","279501","16946","1","0","DEFAULT","1742554581800061467","true","1444570","","1721001600000","1444570","1742554581800061467"
"1370177","325706","201926","284088","16946","1","0","DEFAULT","1742554571512031752","true","1370177","","1719187200000","1370177","1742554571512031752"
"1591947","325706","204282","293237","16946","1","0","DEFAULT","1743176871351269783","true","1591947","","1724889600000","1591947","1743176871351269783"
"1592015","325706","221206","297488","16946","1","0","DEFAULT","1743176941192455183","true","1592015","","1724889600000","1592015","1743176941192455183"
"1591926","325706","204282","297489","16946","1","0","DEFAULT","1742554586943109261","true","1591926","","1724889600000","1591926","1742554586943109261"
"1591605","325706","201927","297492","16946","1","0","DEFAULT","1742554602385075490","true","1591605","","1724803200000","1591605","1742554602385075490"
"1591793","325706","201927","297500","16946","1","0","DEFAULT","1743177009173711665","true","1591793","","1724803200000","1591793","1743177009173711665"
"1591553","325706","201927","305129","16946","1","0","DEFAULT","1742554602384343317","true","1591553","","1724803200000","1591553","1742554602384343317"
"1591849","325706","201927","305138","16946","1","0","DEFAULT","1742554602389371216","true","1591849","","1724803200000","1591849","1742554602389371216"
"1591910","325706","201927","305139","16946","1","0","DEFAULT","1742554602389622120","true","1591910","","1724889600000","1591910","1742554602389622120"
"1741237","325706","341707","322707","16946","1","0","DEFAULT","1742554566375867825","true","1741237","","1728950400000","1741237","1742554566375867825"
"1382403","325932","201926","279501","16946","1","0","DEFAULT","1742554581803765002","true","1382403","","1719446400000","1382403","1742554581803765002"
"1374281","326432","201926","293237","16946","1","0","DEFAULT","1743176866161722031","true","1374281","","1719273600000","1374281","1743176866161722031"
"1376924","327243","201926","275181","16946","1","0","DEFAULT","1742554581798805307","true","1376924","","1719273600000","1376924","1742554581798805307"
"1387572","329412","204282","235382","16946","1","0","DEFAULT","1742554581804755965","true","1387572","","1719532800000","1387572","1742554581804755965"
"1387571","329412","204282","275181","16946","1","0","DEFAULT","1742554581799545100","true","1387571","","1719532800000","1387571","1742554581799545100"
"1386832","329412","201926","279501","16946","1","0","DEFAULT","1742554581803500784","true","1386832","","1719532800000","1386832","1742554581803500784"
"1409660","336425","201926","279501","16946","1","0","DEFAULT","1742554576629702471","true","1409660","","1719878400000","1409660","1742554576629702471"
"1409661","336426","201926","279501","16946","1","0","DEFAULT","1742554576630896485","true","1409661","","1719878400000","1409661","1742554576630896485"
"1590852","336426","201927","297499","16946","1","0","DEFAULT","1743176977629318021","true","1590852","","1724803200000","1590852","1743176977629318021"
"1409662","336427","201926","279501","16946","1","0","DEFAULT","1742554576631624874","true","1409662","","1719878400000","1409662","1742554576631624874"
"1733301","336428","201926","235382","16946","1","0","DEFAULT","1742554566371624708","true","1733301","","1728604800000","1733301","1742554566371624708"
"1586878","336428","204282","297489","16946","1","0","DEFAULT","1742554597231137500","true","1586878","","1724716800000","1586878","1742554597231137500"
